,x,y,z
0,232.24643230698777,378.96492827618965,a
1,209.72109180956184,356.47201905428415,a
2,199.7846938038816,376.83183339373767,a
3,265.40790070152923,387.4554555955471,a
4,224.7137939588158,346.76790438380647,a
5,241.58808793458704,394.68027697164473,a
6,251.99420264038605,397.3311646255549,a
7,269.81440092989834,406.1575817824097,a
8,294.09773778934,422.3699461748941,a
9,292.44323424900057,402.6825458256236,a
10,278.1227758273603,370.4580072016781,a
11,216.32755687845287,432.0403260401221,a
12,264.3225999451925,414.0379200940925,a
13,245.74700736871543,356.8433727330082,a
14,295.8057292101925,412.1273787310919,a
15,294.9053895961652,431.8445482938454,a
16,325.7634660105301,358.12004901098624,a
17,331.4305519498838,347.1126515236152,a
18,319.7973308195617,389.2238690775909,a
19,342.7851752711919,340.325072567243,a
20,338.02864039931706,345.65481458884415,a
21,416.512390830746,373.5199577859108,a
22,340.02832284262723,370.2593575106234,a
23,350.4503796969488,316.40563209973607,a
24,356.959989727472,361.7669618643571,a
25,342.9010626649455,322.6830269120991,a
26,363.0440406382038,351.149722884365,a
27,329.5978920802325,345.8832510741605,a
28,396.43646001511615,338.18185358735093,a
29,368.79430454518337,280.89640788441426,a
30,367.0442784548788,367.23319612736543,a
31,352.5417831624842,336.9376911900968,a
32,369.2769117886052,304.2441128482724,a
33,373.7687844792226,290.9935756641471,a
34,376.60088982531744,319.3044617470566,a
35,368.26715199436063,303.1060529342211,a
36,409.11160342853606,306.4216715693891,a
37,416.6666644423111,334.33550337461526,a
38,434.4412384645349,337.36244747683355,a
39,443.5049459673998,307.7549914051,a
40,429.82781894611054,300.35657245653255,a
41,449.6202406358325,317.05373952949,a
42,464.39333347225016,282.6874213924074,a
43,432.8475205773903,306.22826502303326,a
44,470.3563197499618,307.2198289567145,a
45,454.9394093749496,321.69858579522736,a
46,426.6346433706975,316.6471384173927,a
47,407.21346086905146,350.41929395237014,a
48,501.6477724999939,313.0371744803256,a
49,414.4752852672351,307.5057473094992,a
50,465.3137049317445,298.7107838864517,a
51,521.576867686451,339.2793739676709,a
52,516.199066406726,297.37081048058764,a
53,441.04657512333387,310.6532236753375,a
54,413.8183558819532,321.8029655966214,a
55,311.80520395657976,213.23111284271224,a
56,322.68569713025664,177.54280046868968,a
57,294.7288345336069,181.0717125077528,a
58,308.2558689322744,182.8187757818949,a
59,260.2205389394364,186.21016068038864,a
60,241.3615885247989,148.637122894657,a
61,284.02301566516394,117.59248570886548,a
62,237.17867523942107,211.90796828843816,a
63,244.18052067312263,156.1137811232486,a
64,177.8967164438675,196.2623507222607,a
65,223.1853809514648,147.83521087469376,a
66,211.4791613046764,163.75145820025278,a
67,179.57568103115273,100.36559822418116,a
68,178.47185666020926,178.66865596426243,a
69,197.16600948705647,142.61697831473236,a
70,142.68194778862545,136.3306250413857,a
71,126.08356759291884,186.1847955354698,a
72,184.9478439193539,172.09435573016623,a
73,150.5891141968562,142.06370827580412,a
74,154.0339735916885,123.1705131160881,a
75,136.8429462318158,183.5400540420706,a
76,157.5369014182777,175.7700351949204,a
77,163.39619553262307,170.05142022880165,a
78,131.19938231949533,169.9386181037519,a
79,145.1280040128429,118.05654688707584,a
80,136.9826856476276,168.0126102432327,a
81,146.87493500226586,135.8105026834363,a
82,116.17493175105874,146.1562758367462,a
83,134.08486119907997,99.88638395567123,a
84,164.08512758670136,91.90078997311332,a
85,177.2017492869748,151.1762935368107,a
86,121.84444113771136,101.6035273495882,a
87,159.29720336704798,86.44073017602432,a
88,155.8605774039914,100.28530364767022,a
89,168.00059609911213,106.55452640769062,a
90,153.31669263570006,62.94914574368551,a
91,165.80370334276236,81.96183882676843,a
92,161.8701979670093,74.38168841494303,a
93,174.03875277059515,46.97581404396038,a
94,155.78275679786063,50.70245758435925,a
95,167.06854835515264,56.75437718623681,a
96,244.3135329269542,148.04124563598452,a
97,213.5642493986045,87.02437158704231,a
98,193.16077916275668,98.93085752825829,a
99,238.7020956474654,170.8717096910426,a
100,235.24494885434203,144.23053567617262,a
101,227.91559904073424,144.6225611009113,a
102,303.7646004200952,141.0257572269511,a
103,275.166519936645,115.60886495980634,a
104,316.21598073399696,181.95255511476387,a
105,278.59094795575845,168.69268157892657,a
106,249.73820888004104,214.8461129566079,a
107,317.27259188600414,167.74622963533778,a
108,399.8992244245274,216.5694546526916,a
109,343.58834090005337,235.96410677572783,a
110,333.0089575836942,209.892667742668,a
111,365.8582880485038,199.80941501066235,a
112,350.79803045965787,211.71202190195956,a
113,322.68455766725464,217.17961589566116,a
114,361.05342829121895,235.06978237019095,a
115,169.85682977341926,206.8068884060217,b
116,204.8902328377557,249.8545174621632,b
117,226.20435927786508,221.3728061363688,b
118,289.0107352495087,254.5367103969203,b
119,221.9913369834756,255.27279824026888,b
120,235.0903259790525,302.7143977483694,b
121,252.7304522152764,247.1184217693647,b
122,258.93373757585346,334.7404744381771,b
123,276.1044950192272,221.0735618435766,b
124,313.7222104059758,241.53924719589656,b
125,272.17135916894466,262.6432456020109,b
126,300.2666262802072,238.35803597520203,b
127,312.14940153644045,242.93183894007603,b
128,343.2366029833293,261.0573179807208,b
129,277.937717604773,242.322581720024,b
130,298.8894214277005,282.5439537447471,b
131,319.7454512557069,245.31038293918195,b
132,359.1833746532057,225.94163051363,b
133,328.7800197104896,315.6919704572316,b
134,343.8272086467898,269.01377197854833,b
135,373.9670603567004,257.20686567566065,b
136,316.9462249992484,306.6229748451786,b
137,375.389795833226,223.9290836917465,b
138,387.8636849429449,246.28008822162465,b
139,395.9199989708865,231.08579847716908,b
140,446.568842336666,197.3419843040484,b
141,415.3051797777047,220.3912417496877,b
142,434.1567490176935,209.03328893369653,b
143,405.5141288817935,184.39791883026203,b
144,424.2893830832018,219.78112351803583,b
145,473.4815648244477,218.70642903854664,b
146,448.86516327489545,167.52056607540112,b
147,405.0706151688386,253.43207911812857,b
148,465.9306663834221,214.65526689325011,b
149,466.9894549368078,196.3302778975862,b
150,477.4038985979706,188.6957926023292,b
151,476.3309170164601,209.5231670165589,b
152,523.4119443832858,211.83807326844845,b
153,554.0864359258575,164.84696771662408,b
154,501.2587077831634,197.98817833907495,b
155,514.0573721033719,165.8695951659227,b
156,524.7084699468545,183.6307159347407,b
157,503.4954023996606,131.57539171207532,b
158,473.3573527172183,131.46396677064024,b
159,517.1691941939146,164.59385453097474,b
160,511.4392351276276,120.2528004925842,b
161,567.1725682115292,124.87550607273675,b
162,577.6152506693521,148.3873134468846,b
163,591.4332781183278,98.52318098587456,b
164,557.909071633472,58.42351003827668,b
165,593.2911648535409,124.35863883390311,b
166,543.1108118135047,114.74524197973308,b
167,556.1591243444301,134.49355423049445,b
168,585.9002763036078,104.96452434573872,b
169,530.4496921962675,107.88268752889924,b
170,582.6162892461047,122.41643000575294,b
171,579.7327704136087,136.99811387170564,b
172,626.7815544189928,134.29828264962703,b
173,570.2289148262709,87.77384879028716,b
174,574.9234473752026,99.59759963908208,b
175,640.9974763928761,76.00394428364433,b
176,48.59226815876994,354.9683265495493,c
177,80.35805257154409,351.6430149211331,c
178,101.08841416167697,251.60517544793925,c
179,99.65853497919652,315.762569417692,c
180,81.60005331503646,264.86732670543347,c
181,55.84278915009456,284.82122287354304,c
182,44.22470252949866,279.60237090184773,c
183,37.10839858417988,290.0580912400218,c
184,-0.4297820491447623,235.76524723140147,c
185,52.103712739038286,320.2940451377485,c
186,62.54479701816359,262.2728386832297,c
187,87.83276002224906,258.01198469678786,c
188,5.2291346187146885,251.5306214451733,c
189,44.5022157789064,231.9269839681912,c
190,-7.213504681205215,257.93612782889534,c
191,26.46721076654763,216.1288755505962,c
192,9.011977845527005,219.5849556305991,c
193,49.95981481326364,190.1468862929978,c
194,52.4666696239412,216.78490100028543,c
195,-2.628627884232703,169.49003744895538,c
196,6.98153543244074,200.59311096508333,c
197,13.60819725647858,169.23965647513074,c
198,-35.68087329086016,148.3612236200927,c
199,-2.154590996101467,125.84386834284032,c
200,14.99581227657969,143.46309170159498,c
201,0.173939740407409,79.07015918652246,c
202,27.89030531029263,59.80359289130797,c
203,23.89393590063229,88.60936609661178,c
204,35.114557396356176,94.45444479743004,c
205,-8.231385191548306,53.552130101405055,c
206,11.739150837904052,50.32990887134315,c
207,13.651888577879784,90.32482061080157,c
208,32.22519641762928,35.97900768231153,c
209,27.85185700068019,88.12422817380536,c
210,16.48193191005757,56.327618975349765,c
211,43.08464017981787,53.200741687142624,c
212,56.71038611477118,21.16417900071019,c
213,38.17530024598929,25.404487795250706,c
214,15.931222955366689,2.8819653532333405,c
215,59.18862387924576,32.74956488416149,c
216,-2.346335999309197,13.400078107063509,c
217,60.63409037398966,32.901461851876775,c
